1,1449.3276,1449.5273,1449.5099,1449.5559,1449.5498,1449.4996,1449.3123,1449.4187,1449.5334,1449.4700,1449.5693,1449.4116,1449.5948,1449.5959,1449.5549,1449.4658,1449.5355,1449.5355,1449.5806,1449.5068
2,1212.1887,1212.1610,1212.3658,1212.1836,1212.3556,1212.1078,1212.2552,1212.0280,1212.0709,1212.0515,1212.1804,1212.2030,1212.0616,1212.1722,1211.9962,1212.1160,1212.1631,1212.0597,1209.4474,1209.2518
4,1108.9418,1108.9818,1109.6371,1108.9030,1109.0330,1109.0381,1108.9849,1109.0063,1108.9653,1109.0677,1109.0657,1109.0402,1109.0033,1108.9725,1109.0299,1108.9818,1109.0176,1109.0135,1109.0688,1109.0442
8,1052.0760,1053.0642,1053.7012,1053.6121,1053.6888,1052.0063,1052.0074,1051.9501,1052.0320,1051.9921,1052.0515,1052.0371,1052.0299,1051.9911,1052.0555,1052.0432,1052.4569,1053.6807,1053.6980,1053.7574
16,1021.9581,1021.7810,1021.8250,1021.8189,1021.3683,1018.8605,1018.8575,1018.8698,1018.8380,1018.8063,1018.8185,1018.7858,1018.8309,1018.8288,1018.8339,1018.8452,1018.8513,1018.8124,1018.8554,1018.8370
32,1003.0510,1002.8882,1002.8831,1002.8903,1002.8923,1002.8862,1002.8943,1002.8995,1002.9046,1002.8841,1002.8933,1002.8770,1002.8800,1002.8903,1002.8790,1002.8841,1002.9036,1002.9066,1002.8810,1002.8667
64,999.2960,999.0267,999.0215,999.0256,999.0247,999.0759,999.0164,999.0185,999.0226,999.0318,999.1567,1001.3931,1001.3378,1001.4331,1001.3942,1001.3757,1001.4290,1001.4730,1001.4331,1001.4392
128,995.3044,994.4095,994.4238,994.4197,995.0249,996.6500,996.6448,996.6193,996.5875,996.6029,996.0356,994.4054,994.4084,994.4003,994.4084,994.4218,994.4054,994.4177,994.4125,994.4269
256,993.0814,992.3635,991.9724,991.9580,991.9683,991.9539,991.9560,991.9518,991.9601,991.9631,991.9672,991.9539,991.9611,991.9488,991.9601,991.9509,991.9509,991.9457,991.9590,991.9488
512,1053.2362,1050.6782,1050.7694,1050.8462,1051.4473,1052.5481,1052.5236,1052.4816,1050.8770,1050.7806,1050.7858,1050.7305,1050.7458,1050.7745,1050.7325,1050.7622,1052.4825,1052.5103,1052.5665,1052.5327
1024,1075.2246,1068.8890,1068.8778,1068.9208,1068.9648,1069.0386,1068.9557,1068.9240,1068.9956,1068.8829,1068.8890,1068.8911,1068.8860,1068.8890,1068.9280,1068.9301,1068.9259,1068.8942,1070.8163,1068.9894
