Device,Stream,Event
40.3282,41.4331,38.2372
40.6364,41.8970,38.0078
40.9477,41.8816,38.1256
40.9528,41.6410,38.1829
40.6661,41.5990,38.2321
40.5852,41.7843,38.1901
40.9027,41.4065,38.1921
40.7992,41.4915,38.1696
40.7624,41.6625,38.1440
40.8637,41.8847,38.1245
40.8986,41.6410,38.2536
40.6866,41.7894,38.1522
40.8289,41.7823,38.5239
40.8801,41.7792,38.2638
40.9764,41.6635,38.2720
40.8422,41.7679,38.0877
40.9641,41.7178,38.1737
40.8719,41.7802,38.0856
40.9098,41.7915,38.1368
40.8269,41.8263,38.1030
